X,Y
6247,6378
3225,3895
2386,9580
1776,8606
6494,453
4279,6669
5269,4626
1332,932
7264,8167
4900,2044
8537,2421
5503,5773
1834,6623
1144,5677
2106,876
1301,4086
1569,5638
191,364
7741,9304
3070,2021
5442,4636
1277,6496
3541,192
8591,2199
6477,3407
3809,5682
3910,8046
8706,6956
6296,7400
2893,9856
7680,19
9162,6085
7724,5134
9084,9110
7713,2013
3869,2524
6571,7493
2156,5836
7647,4408
5466,4206
6606,5125
9434,4195
7444,6969
5756,9179
829,7275
7650,7236
4313,9997
1504,244
4871,9800
9496,650
5074,1693
2202,2695
4444,9748
1132,2912
2761,4638
192,2300
6325,8591
8101,1748
4523,2072
4266,1954
8633,6927
4621,6373
4372,229
4372,4476
3743,2519
2553,656
6502,8797
2398,1452
1875,5256
7011,6773
7803,5899
5886,4933
4184,2016
4676,7094
2653,4246
8750,2050
5739,5661
6069,6060
6730,101
320,4814
240,706
2916,8461
8174,7993
69,3239
9257,5342
8974,6865
6704,3437
4784,852
5906,2611
7470,9299
3061,2010
5252,2053
6393,8685
5904,6445
7565,6142
442,3651
4497,705
5354,3000
1245,1429
6307,4602
